rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
1,0.4,0.4,6000,rf,weighted + Platt,0.7892,0.18,0.013,0.0213,1.0,0.0,0.4,0.4,0.1807,0.273,0.6
1,0.4,0.4,6000,rf,weighted + isotonic,0.7853,0.1804,0.0097,0.0185,0.96,-0.015,0.4003,0.4,0.1794,0.275,0.6
1,0.4,0.4,6000,hgb,unweighted,0.7818,0.1843,0.0265,0.0342,0.81,-0.06,0.3994,0.4,0.1771,0.2708,0.6
1,0.4,0.4,6000,hgb,weighted,0.7805,0.189,0.0675,0.0719,0.81,-0.357,0.4627,0.4,0.1723,0.2672,0.6
1,0.4,0.4,6000,hgb,weighted + Platt,0.7803,0.1842,0.0205,0.0331,0.999,-0.001,0.4,0.4,0.1758,0.2696,0.6
1,0.4,0.4,6000,hgb,weighted + isotonic,0.7775,0.1839,0.0052,0.0108,0.954,-0.015,0.3999,0.4,0.175,0.2698,0.6
1,0.5,0.5,6000,logreg,unweighted,0.7862,0.1891,0.027,0.0301,0.994,0.0,0.4999,0.5,0.2187,0.3836,0.6
1,0.5,0.5,6000,logreg,weighted,0.7862,0.1891,0.027,0.0301,0.994,0.0,0.4999,0.5,0.2187,0.3836,0.6
1,0.5,0.5,6000,logreg,weighted + Platt,0.7861,0.1892,0.0283,0.0312,1.0,-0.0,0.5,0.5,0.218,0.3839,0.6
1,0.5,0.5,6000,logreg,weighted + isotonic,0.7826,0.1894,0.0106,0.0149,0.945,-0.001,0.5001,0.5,0.2142,0.3858,0.6
1,0.5,0.5,6000,rf,unweighted,0.7871,0.187,0.0093,0.0211,1.001,0.004,0.4992,0.5,0.2225,0.385,0.6
1,0.5,0.5,6000,rf,weighted,0.7875,0.1869,0.0097,0.0237,1.003,0.004,0.4992,0.5,0.2207,0.3853,0.6
1,0.5,0.5,6000,rf,weighted + Platt,0.7871,0.187,0.0137,0.0236,0.998,-0.0,0.5,0.5,0.2203,0.3856,0.6
1,0.5,0.5,6000,rf,weighted + isotonic,0.784,0.1871,0.0122,0.017,0.95,-0.002,0.5002,0.5,0.2247,0.3836,0.6
1,0.5,0.5,6000,hgb,unweighted,0.7748,0.1937,0.0371,0.0432,0.774,-0.005,0.5005,0.5,0.2155,0.3801,0.6
1,0.5,0.5,6000,hgb,weighted,0.7748,0.1937,0.0371,0.0432,0.774,-0.005,0.5005,0.5,0.2155,0.3801,0.6
1,0.5,0.5,6000,hgb,weighted + Platt,0.7744,0.193,0.0218,0.0303,0.997,-0.0,0.5,0.5,0.2148,0.3838,0.6
1,0.5,0.5,6000,hgb,weighted + isotonic,0.7708,0.1928,0.0092,0.0176,0.952,-0.0,0.4999,0.5,0.2153,0.3836,0.6
2,0.05,0.05,6000,logreg,unweighted,0.7628,0.0453,0.0091,0.0136,0.965,-0.09,0.05,0.05,0.0216,0.0015,0.24
2,0.05,0.05,6000,logreg,weighted,0.764,0.1857,0.3466,0.3466,0.8,-2.906,0.3966,0.05,0.0001,-0.1534,0.05
2,0.05,0.05,6000,logreg,weighted + Platt,0.7624,0.0455,0.0107,0.0151,0.99,-0.028,0.05,0.05,0.0216,0.002,0.22
2,0.05,0.05,6000,logreg,weighted + isotonic,0.7557,0.0441,0.0031,0.0074,0.899,-0.246,0.05,0.05,0.0224,0.0036,0.22
2,0.05,0.05,6000,rf,unweighted,0.7676,0.0439,0.0066,0.0091,0.874,-0.31,0.0503,0.05,0.0225,0.0043,0.24
2,0.05,0.05,6000,rf,weighted,0.7531,0.0888,0.1812,0.1812,0.993,-1.98,0.2312,0.05,0.003,-0.0698,0.05
2,0.05,0.05,6000,rf,weighted + Platt,0.7515,0.0442,0.0094,0.0106,0.998,-0.005,0.05,0.05,0.0205,0.0017,0.26
2,0.05,0.05,6000,rf,weighted + isotonic,0.7397,0.0438,0.0017,0.0056,0.885,-0.289,0.0502,0.05,0.0198,0.0033,0.24
2,0.05,0.05,6000,hgb,unweighted,0.7269,0.0468,0.0197,0.0202,0.543,-1.047,0.0457,0.05,0.0173,0.0001,0.2
2,0.05,0.05,6000,hgb,weighted,0.7035,0.1047,0.1639,0.1643,0.455,-2.329,0.2139,0.05,0.0086,-0.0553,0.06
